"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","2851","0","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","16","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","24","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","10","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_OpaqueColoredMaterial.OculusMR_OpaqueColoredMaterial","0","0","2","1","0.000000","0","0"
"/OculusVR/Materials/OculusMR_ChromaKey.OculusMR_ChromaKey","0","0","8","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","70","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","96","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/WireframeMaterial.WireframeMaterial","0","0","598","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorMaterial.VertexColorMaterial","0","0","90","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","123","1","0.000000","0","0"
"/Engine/ArtTools/RenderToTexture/Materials/Debug/M_Emissive_Color.M_Emissive_Color","0","0","2","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","62","2","0.000000","0","0"
"/OculusVR/Materials/PokeAHoleMaterial.PokeAHoleMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","8","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","74","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","52","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","871","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","35","1","0.000000","0","0"
"/Game/Mannequin/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","140","152","2","90.043831","0","0"
"/Game/Proj/Core/UI/Loading_Mat.Loading_Mat","0","9","9","1","3.660262","0","0"
"/Game/Proj/Core/AI/Characters/Secretary/Hair.Hair","0","24","24","1","27.920341","0","0"
"/Game/Proj/Core/Character/Suit.Suit","0","24","24","1","28.341967","0","0"
"/Game/Proj/Core/Character/Skin.Skin","0","34","36","1","33.682068","0","0"
"/Game/Proj/Core/Character/Pants.Pants","0","24","24","1","21.554722","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Trans_Sprite_SubUV_Master.M_Trans_Sprite_SubUV_Master","0","32","32","1","22.023649","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_SubUV_Master.M_Add_Sprite_SubUV_Master","0","32","32","1","21.670582","0","0"
"/Game/InfinityBladeEffects/Effects/Masters/M_Add_Sprite_Master.M_Add_Sprite_Master","0","32","32","1","21.304636","0","0"
"/Game/Proj/Placeables/ElevatorDoors_001.ElevatorDoors_001","0","24","24","1","21.092527","0","0"
"/Game/Proj/Placeables/ElevatorMat.ElevatorMat","0","24","24","1","20.909470","0","0"
"/Game/Proj/Placeables/TransparentWall.TransparentWall","0","56","56","1","59.026524","0","0"
"/Game/Proj/Placeables/ElevatorFloor.ElevatorFloor","0","24","24","1","20.926163","0","0"
"/Game/Proj/Placeables/ElevatorDoors.ElevatorDoors","0","24","24","1","20.644188","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","17","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/Black.Black","0","21","21","1","24.244144","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/Plate.Plate","0","21","21","1","23.666492","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/Mobile/M_Sky_Flashing_Panning_Master.M_Sky_Flashing_Panning_Master","0","2","2","1","1.638317","0","0"
"/Game/InfinityBladeEffects/Effects/FX_Materials/Mobile/M_Sky_Flashing_Panning.M_Sky_Flashing_Panning","0","2","2","1","1.788029","0","0"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Skybox_Master.M_LightStage_Skybox_Master","0","0","2","1","0.000000","0","0"
"/Game/Proj/Materials/PP_Outliner_M.PP_Outliner_M","0","4","4","1","3.047149","0","0"
"/Game/Proj/Placeables/M_SurfaceBase.M_SurfaceBase","0","12","12","1","13.050465","0","0"
"/Game/Proj/Core/AI/Characters/Secretary/Suit.Suit","0","24","24","1","21.592632","0","0"
"/Game/Proj/Core/AI/Characters/Secretary/Skin.Skin","0","34","36","1","27.735403","0","0"
"/Game/Proj/Core/AI/Characters/Secretary/Pants.Pants","0","24","24","1","21.428909","0","0"
"/Game/Proj/Core/AI/Characters/Secretary/Horns.Horns","0","24","24","1","21.806082","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/TrashCan.TrashCan","0","21","21","1","23.829889","0","0"
"/Game/Proj/Isometric-Interiors/Materials/M_Texture_Atlas.M_Texture_Atlas","0","21","21","1","25.146198","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/TableMat.TableMat","0","21","21","1","24.015491","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/WallCoverDown_001.WallCoverDown_001","0","21","21","1","23.323336","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/WallCover2_001.WallCover2_001","0","21","21","1","22.948629","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/WallCover1_002.WallCover1_002","0","21","21","1","22.702093","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/Metal.Metal","0","21","21","1","22.999908","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/PaperYellow.PaperYellow","0","21","21","1","22.572615","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/Clock.Clock","0","21","21","1","23.118814","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/Paper.Paper","0","21","21","1","22.170712","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/Cross.Cross","0","21","21","1","23.722033","0","0"
"/Game/Proj/Isometric-Interiors/Materials/M_Mirror_Glass_4.M_Mirror_Glass_4","0","21","21","1","22.576843","0","0"
"/Game/Proj/Isometric-Interiors/Materials/M_Mirror_Glass.M_Mirror_Glass","0","21","21","1","22.736649","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorViewMode_BlueOnly.VertexColorViewMode_BlueOnly","0","0","10","1","0.000000","0","0"
"/Engine/EditorMaterials/MatineeGroups/MAT_ColorTrack_Mat.MAT_ColorTrack_Mat","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/CubeMaterial.CubeMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/VertexColorViewMode_RedOnly.VertexColorViewMode_RedOnly","0","0","10","1","0.000000","0","0"
"/Game/Proj/Core/AI/Characters/Zombie/Material_004.Material_004","0","34","36","1","27.424555","0","0"
"/Game/Proj/Core/AI/Characters/Zombie/Material_003.Material_003","0","24","24","1","20.353046","0","0"
"/Game/Proj/Core/AI/Characters/Zombie/Material_002.Material_002","0","24","24","1","20.354330","0","0"
"/Game/Proj/Core/AI/Characters/Zombie/Material.Material","0","24","24","1","21.187031","0","0"
"/Game/Proj/Core/AI/Characters/Zombie/Material_001.Material_001","0","34","36","1","26.621805","0","0"
"/Game/Proj/Core/AI/Characters/Demon/NewDemon/Suit_001.Suit_001","0","24","24","1","20.360765","0","0"
"/Game/Proj/Core/AI/Characters/Demon/NewDemon/Suit.Suit","0","24","24","1","21.598120","0","0"
"/Game/Proj/Core/AI/Characters/Demon/NewDemon/Skin.Skin","0","24","24","1","20.795387","0","0"
"/Game/Proj/Core/AI/Characters/Demon/NewDemon/Pants.Pants","0","24","24","1","20.799540","0","0"
"/Game/Proj/Materials/M_MirrorMat.M_MirrorMat","0","21","21","1","23.965208","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/plane.plane","0","21","21","1","25.213585","0","0"
"/Game/Proj/Isometric-Interiors/Meshes/Table.Table","0","21","21","1","22.464027","0","0"
